datetime,open,high,low,close,volume
2019-06-14 00:00,131.70,131.70,126.83,128.24,341700.00
2019-06-17 00:00,128.25,130.90,128.25,129.15,277800.00
2019-06-18 00:00,130.29,133.62,130.22,132.44,185100.00
2019-06-19 00:00,133.19,133.64,129.54,131.17,243100.00
2019-06-20 00:00,133.29,136.19,131.74,135.41,406900.00
2019-06-21 00:00,135.14,136.41,128.24,128.42,714100.00
2019-06-24 00:00,128.49,130.09,126.21,127.89,308300.00
2019-06-25 00:00,127.88,128.79,127.20,127.90,270100.00
2019-06-26 00:00,129.04,130.85,128.19,128.50,204400.00
2019-06-27 00:00,129.37,131.41,127.86,131.21,226700.00
2019-06-28 00:00,131.65,132.10,129.93,131.50,472500.00
